"ES.ID","lnRR.es","lnRR.sv","SMD.es","SMD.sv","direction","parental","Study.ID","Cross.ID","File","Source","Study.name","Genus","spL.name","spS.name","species.pair","Female.pref","trait.type","trait","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Bottleneck.spLF","Bottleneck.spLM","Bottleneck.spSF","Bottleneck.spSM","pheno.div.diff","pheno.div.ratio","reciprocal","distribution","source_distribution","taxa","souce_sex.determinaton","sex.determination","hetero.sex","divergence.cytb","divergence.COI","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","sq.divergence.COI"
"ES012",-0.436600204903578,0.0791463067694133,-0.624697819540214,0.170142609652428,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SH",5.95454545454545,4.63903666260839,NA,9.21428571428571,5.3375833406484,NA,2.35714285714286,2.89968330431206,NA,4.15384615384615,12.6217151095916,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,14,14,26,NA,NA,NA,NA,NA,NA,NA,NA,-0.614791285882778,-0.120178051339683,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES013",-0.072004921956943,0.0565029277072835,-0.103630720128897,0.116794515787553,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SH",7.36666666666667,5.07937003968012,NA,7.91666666666667,5.52959210872637,NA,4.78571428571429,5.03457433905889,NA,4.15384615384615,12.6217151095916,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,7,26,NA,NA,NA,NA,NA,NA,NA,NA,-0.614577452992746,0.213467418499451,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES014",0.0289875368732537,0.0494383835887299,0.0550104390594837,0.17149161618702,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EH",200,120.332871651931,NA,194.285714285714,83.6416066760254,NA,108.571428571429,102.738026264944,NA,63.0769230769231,66.4928701076133,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,14,26,NA,NA,NA,NA,NA,NA,NA,NA,-0.594330146805574,1.12441240362112,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES015",-0.207179700325197,0.0365100172438057,-0.337428103329232,0.111580337290321,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EH",181.333333333333,123.281070007614,NA,223.076923076923,116.842077206446,NA,77.1428571428571,73.6234212955722,NA,63.0769230769231,66.4928701076133,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13,7,26,NA,NA,NA,NA,NA,NA,NA,NA,-0.597156778999998,0.970798145578758,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES016",-0.455993145140596,0.11308746277029,-0.445985428712311,0.113978609923747,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COH",4.98,5.9337677743572,NA,7.85714285714286,6.97554035651046,NA,6.42857142857143,5.03508101387917,NA,2.5,3.90803368367358,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,14,14,11,NA,NA,NA,NA,NA,NA,NA,NA,-0.614688421602796,0.395659829906841,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES017",0.352666922541194,0.301686720655263,0.252576332151307,0.165966587932773,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COH",4.98,5.9337677743572,NA,3.5,4.89897948556636,NA,10.1923076923077,8.60576385904431,NA,3.76666666666667,4.61109772421082,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,8,13,30,NA,NA,NA,NA,NA,NA,NA,NA,-0.614880228787418,-0.24698332841634,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES018",0.158485762480153,0.00596326065377177,0.745392598746308,0.189001557928855,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COD",60.4615384615385,13.8153503511653,NA,51.6,7.2,NA,58.2857142857143,17.9181813946002,NA,44.4,11.7575507653593,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,14,5,NA,NA,NA,NA,NA,NA,NA,NA,-0.612631813717161,-0.200688355087434,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES019",-0.0876473070587551,0.0113624514406414,-0.393173464762979,0.415087203174964,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COD",60.4615384615385,13.8153503511653,NA,66,9.79795897113271,NA,55.0909090909091,11.9503103455673,NA,43.5,14.6201915172134,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,11,16,NA,NA,NA,NA,NA,NA,NA,NA,-0.61249552966493,-0.168581993715982,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES020",-0.0468190139926307,0.00556055922178142,-0.287921277741594,0.245295338803506,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EL",3.04,0.498397431775085,NA,3.18571428571429,0.451753951452626,NA,2.80769230769231,0.426905751554204,NA,2.225,0.263391343821319,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,13,8,NA,NA,NA,NA,NA,NA,NA,NA,-0.614940547099424,-0.195463431560912,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES021",0.143607044613266,0.00439697407110192,0.825852513349097,0.459565347710449,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EL",3.04,0.498397431775085,NA,2.63333333333333,0.188561808316413,NA,2.91818181818182,0.324228263638673,NA,2.14166666666667,0.562669727479827,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,11,24,NA,NA,NA,NA,NA,NA,NA,NA,-0.614927928205699,-0.135616247264793,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES022",-0.119646472905305,0.00635066174143481,-0.688974211418807,0.281500587416672,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","NS",13.9,2.6153393661244,NA,15.6666666666667,2.03442593595562,NA,13.8846153846154,1.64262742338943,NA,12,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,13,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.614776249103123,-0.454337040902743,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES023",0.133188868216307,0.00404059601153538,0.678939695501614,0.451062529876711,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","NS",13.9,2.6153393661244,NA,12.1666666666667,0.471404520791032,NA,13.6818181818182,1.19226154987309,NA,12.7,2.48193472919817,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,11,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.614882247810414,-0.543224332751041,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES024",0.0676901152999167,0.0012744602886351,0.959243520043085,0.269920323173162,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SL",0.227,0.0124899959967968,NA,0.212142857142857,0.0174963553055941,NA,0.206538461538462,0.02741312258647,NA,0.19875,0.0264279681398325,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,13,8,NA,NA,NA,NA,NA,NA,NA,NA,-0.615059682075082,-0.476411631973382,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES025",0.038927070514262,0.00325517304472004,0.563730503624948,0.445556105668612,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SL",0.227,0.0124899959967968,NA,0.218333333333333,0.0205480466765633,NA,0.216818181818182,0.0224896670488236,NA,0.175,0.0284375746535093,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,11,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.615056085690371,-0.276889868599893,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES026",0.0533459807052921,0.143348411208378,0.0547437716473046,0.162397599948346,"Greater","Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COR",3.5,3.273,NA,3.31818181818182,3.12989430461645,NA,3.25,3.074110950518,NA,2.5,2.40743672035217,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,12,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.614912533155354,-0.157253436621758,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES027",0.154150679827258,0.506223139527769,0.145736919358815,0.572092297980578,"Greater","Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COR",3.5,3.273,NA,3,2.82624652931135,NA,2.5,2.36147317971481,NA,1.63333333333333,1.49742835109619,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,11,15,NA,NA,NA,NA,NA,NA,NA,NA,-0.614781296660613,0.510111057295637,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
