"ES.ID","yi","vi","direction","SE","parental","Study.ID","Cross.ID","File","Source","Study.name","Genus","spL.name","spS.name","species.pair","Female.pref","trait.type","trait","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Bottleneck.spLF","Bottleneck.spLM","Bottleneck.spSF","Bottleneck.spSM","pheno.div.diff","pheno.div.ratio","reciprocal","distribution","source_distribution","taxa","souce_sex.determinaton","sex.determination","hetero.sex","divergence.cytb","divergence.COI","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","sq.divergence.COI"
"ES012",0.885771230634524,0.521665204106283,"+",0.286786860477274,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SH",4.15384615384615,12.6217151095916,NA,2.35714285714286,2.89968330431206,NA,9.21428571428571,5.3375833406484,NA,5.95454545454545,4.63903666260839,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,14,14,11,NA,NA,NA,NA,NA,NA,NA,NA,-0.614791285882778,-0.120178051339683,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES013",0.997357037115264,0.616543826926947,"+",0.315741941699828,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SH",4.15384615384615,12.6217151095916,NA,4.78571428571429,5.03457433905889,NA,7.91666666666667,5.52959210872637,NA,7.36666666666667,5.07937003968012,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,7,12,30,NA,NA,NA,NA,NA,NA,NA,NA,-0.614577452992746,0.213467418499451,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES014",0.089504174569009,0.16516090588097,"+",0.286786860477274,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EH",63.0769230769231,66.4928701076133,NA,108.571428571429,102.738026264944,NA,194.285714285714,83.6416066760254,NA,200,120.332871651931,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,14,14,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.594330146805574,1.12441240362112,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES015",0.0361022006228638,0.276192998073933,"+",0.315741941699828,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EH",63.0769230769231,66.4928701076133,NA,77.1428571428571,73.6234212955722,NA,223.076923076923,116.842077206446,NA,181.333333333333,123.281070007614,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,7,13,30,NA,NA,NA,NA,NA,NA,NA,NA,-0.597156778999998,0.970798145578758,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES016",0.702604807495857,0.354428640943793,"+",0.362759872846844,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COH",2.5,3.90803368367358,NA,6.42857142857143,5.03508101387917,NA,7.85714285714286,6.97554035651046,NA,4.98,5.9337677743572,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,14,14,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.614688421602796,0.395659829906841,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES017",0.347051315338406,0.163701478448632,"+",0.276601809915905,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COH",3.76666666666667,4.61109772421082,NA,10.1923076923077,8.60576385904431,NA,3.5,4.89897948556636,NA,4.98,5.9337677743572,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13,8,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.614880228787418,-0.24698332841634,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES018",-0.0626642477435305,0.184236868423369,"+",0.416114112239751,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COD",44.4,11.7575507653593,NA,58.2857142857143,17.9181813946002,NA,51.6,7.2,NA,60.4615384615385,13.8153503511653,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,10,13,NA,NA,NA,NA,NA,NA,NA,NA,-0.612631813717161,-0.200688355087434,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES019",0.421203414037415,0.0946710363840801,"+",0.349065850398866,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COD",43.5,14.6201915172134,NA,55.0909090909091,11.9503103455673,NA,66,9.79795897113271,NA,60.4615384615385,13.8153503511653,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,3,13,NA,NA,NA,NA,NA,NA,NA,NA,-0.61249552966493,-0.168581993715982,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES020",0.117301374311737,0.14444944811067,"+",0.439910962495049,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EL",3.04,0.498397431775085,NA,3.18571428571429,0.451753951452626,NA,2.80769230769231,0.426905751554204,NA,2.225,0.263391343821319,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,13,8,NA,NA,NA,NA,NA,NA,NA,NA,-0.614940547099424,-0.195463431560912,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES021",0.832360586826265,0.0757373881991062,"+",0.306588049981286,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","EL",2.14166666666667,0.562669727479827,NA,2.91818181818182,0.324228263638673,NA,2.63333333333333,0.188561808316413,NA,3.04,0.498397431775085,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,11,3,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.614927928205699,-0.135616247264793,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES022",0.326382210533413,0.16190621729699,"+",0.453449841058554,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","NS",13.9,2.6153393661244,NA,15.6666666666667,2.03442593595562,NA,13.8846153846154,1.64262742338943,NA,12,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,13,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.614776249103123,-0.454337040902743,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES023",0.778485574423707,0.0730513559494709,"+",0.302299894039036,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","NS",12.7,2.48193472919817,NA,13.6818181818182,1.19226154987309,NA,12.1666666666667,0.471404520791032,NA,13.9,2.6153393661244,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,11,3,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.614882247810414,-0.543224332751041,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES024",0.0316018240710597,0.116660497304464,"+",0.395803470574575,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SL",0.19875,0.0264279681398325,NA,0.206538461538462,0.02741312258647,NA,0.212142857142857,0.0174963553055941,NA,0.227,0.0124899959967968,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,7,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.615059682075082,-0.476411631973382,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES025",0.421655789762065,0.0748534736790033,"+",0.31106402469855,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","SL",0.175,0.0284375746535093,NA,0.216818181818182,0.0224896670488236,NA,0.218333333333333,0.0205480466765633,NA,0.227,0.0124899959967968,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11,3,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.615056085690371,-0.276889868599893,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES026",0.139123227971121,0.518508735261013,"+",0.453449841058554,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COR",2.5,2.40743672035217,NA,3.25,3.074110950518,NA,3.31818181818182,3.12989430461645,NA,3.5,3.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,11,14,NA,NA,NA,NA,NA,NA,NA,NA,-0.614912533155354,-0.157253436621758,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES027",-0.468931662436982,1.04468467798931,"+",0.453449841058554,"Mother","s002","parallelus_localityB","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"sound","COR",3.5,3.273,NA,3,2.82624652931135,NA,2.5,2.36147317971481,NA,1.63333333333333,1.49742835109619,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,11,15,NA,NA,NA,NA,NA,NA,NA,NA,-0.614781296660613,0.510111057295637,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES028",0.913141262377378,0.123299084128282,"+",0.395803470574575,"Mother","s002","parallelus_localityA","ButlinHewitt_BiolJLinnSoc.1988","Fig1","Butlin&Hewitt_1988","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus",NA,"morphology","RL",3.55714285714286,0.349927106111883,NA,3.74285714285714,0.154523626091314,NA,3.75454545454545,0.172487872372821,NA,4.01428571428572,0.279941684889506,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,11,21,NA,NA,NA,NA,NA,NA,NA,NA,-0.614994736234477,-0.495226072165364,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
